"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"VOXA","","","","","Education","","","","361","1","","","0","0","0","","Manama, Bahrain","","","","","","","","","","","","","","","","",""
"Skrivanek Baltic","","","","","Technology, information and media","","","","362","1","","","0","0","1","","Riga, Latvia","","","","","","","","","","","","","","","","",""
"psy.agency","","","","","Retail","","","","363","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"PlantIn app","","","","","Education","","","","364","0","","","0","0","0","","Praha, Czechia","","","","","","","","","","","","","","","","",""
"SAB Comunicar","","","","","Entertainment providers","","","","365","1","","","0","0","1","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Web Summit","","","","","Professional services","","","","366","0","","","0","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Communications Office, Government of Qatar","","","","","Government administration","","","","367","0","","","0","0","0","","Qatar , Qatar","","","","","","","","","","","","","","","","",""
"Radical Ledger Technologies","","","","","Technology, information and media","","","","368","0","","","0","0","0","","Oslo, Norway","","","","","","","","","","","","","","","","",""
"INXY Payments","","","","","Financial services","","","","369","0","","","0","0","0","","Limassol, Cyprus","","","","","","","","","","","","","","","","",""
"Heroic Rankings","","","","","Entertainment providers","","","","370","0","","","0","0","0","","Novi Sad, Serbia","","","","","","","","","","","","","","","","",""
"Independent","","","","","Government administration","","","","371","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Doprax","","","","","Technology, information and media","","","","372","1","","","0","0","1","","Berlin, Germany","","","","","","","","","","","","","","","","",""
"Eight Advisory","","","","","Financial services","","","","373","1","","","0","0","2","","Munich, Germany","","","","","","","","","","","","","","","","",""
"SXSW London","","","","","Retail","","","","374","0","","","0","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Bildungswerk der Wirtschaft MV e.V.","","","","","Education","","","","375","0","","","0","0","0","","Schwerin , Germany","","","","","","","","","","","","","","","","",""
"Enso","","","","","Retail","","","","376","0","","","0","0","0","","Paris, France","","","","","","","","","","","","","","","","",""
"Sumsub","","","","","Financial services","","","","377","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"CTO2B","","","","","Utilities","","","","378","1","","","0","0","1","","Vilnius, Lithuania","","","","","","","","","","","","","","","","",""
"MY DATA MANAGER","","","","","Technology, information and media","","","","379","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Clarity Locums","","","","","Professional services","","","","380","0","","","0","0","0","","Porto, Portugal","","","","","","","","","","","","","","","","",""
"Independent Consultant","","","","","Financial services","","","","381","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Altaclub LLC","","","","","Financial services","","","","382","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Kilo Grupe","","","","","Retail","","","","383","0","","","0","0","0","","Vilnius, Lithuania","","","","","","","","","","","","","","","","",""
"Public Cloud Group","","","","","Financial services","","","","384","0","","","0","0","0","","Berlin, Germany","","","","","","","","","","","","","","","","",""
"CISSESKILLZ GLOBAL ENTERPRISE","","","","","Financial services","","","","385","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Self-employed","","","","","Financial services","","","","386","1","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Complear","","","","","Entertainment providers","","","","387","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"RISKREVO","","","","","Technology, information and media","","","","388","0","","","0","0","0","","Southampton, United Kingdom","","","","","","","","","","","","","","","","",""
"Cyber Simplifier","","","","","Financial services","","","","389","0","","","0","0","0","","Warszawa, Poland","","","","","","","","","","","","","","","","",""
"Grupo ETE","","","","","Transportation, logistics, supply chain and storage","","","","390","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"De Novo Solutions","","","","","Utilities","","","","391","1","","","0","0","0","","Lisboa, United Kingdom","","","","","","","","","","","","","","","","",""
"Rangel Logistics","","","","","Utilities","","","","392","0","","","0","0","0","","Guimarães, Portugal","","","","","","","","","","","","","","","","",""
"AF","","","","","Financial services","","","","393","1","","","0","0","0","","Sarajevo, Bosnia and Herzegovina","","","","","","","","","","","","","","","","",""
"Relativity","","","","","Technology, information and media","","","","394","0","","","0","0","0","","Poznań, Poland","","","","","","","","","","","","","","","","",""
"Zurich","","","","","Financial services","","","","395","0","","","0","0","0","","Kildare , Ireland","","","","","","","","","","","","","","","","",""
"WTW","","","","","Financial services","","","","396","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Audit|Compliance |Governance | Security","","","","","Utilities","","","","397","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"CEE Attorneys","","","","","Retail","","","","398","0","","","0","0","0","","Vilnius, Lithuania","","","","","","","","","","","","","","","","",""
"Cyber Simplifier","","","","","Financial services","","","","399","0","","","0","0","0","","Warsaw, Poland","","","","","","","","","","","","","","","","",""
"Accredital","","","","","Financial services","","","","400","0","","","0","0","0","","Dundee, United Kingdom","","","","","","","","","","","","","","","","",""
"Cyber Story","","","","","Financial services","","","","401","0","","","0","0","0","","Stockholm, Sweden","","","","","","","","","","","","","","","","",""
"Boxfish Labs","","","","","Financial services","","","","402","0","","","0","0","0","","Wiesbaden , Germany","","","","","","","","","","","","","","","","",""
"Maersk","","","","","Transportation, logistics, supply chain and storage","","","","403","0","","","0","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Nordea","","","","","Financial services","","","","404","0","","","0","0","0","","Stockholm, Sweden","","","","","","","","","","","","","","","","",""
"Pretera","","","","","Financial services","","","","405","0","","","0","0","0","","Prishtina, Kosovo, Republic of","","","","","","","","","","","","","","","","",""
"CXO European C-Level Networking & IT European Community.","","","","","Professional services","","","","406","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Version 1","","","","","Utilities","","","","407","0","","","0","0","0","","London , United Kingdom","","","","","","","","","","","","","","","","",""
"Fidelidade","","","","","Financial services","","","","408","0","","","0","0","0","","Lisboa, Portugal","","","","","","","","","","","","","","","","",""
"Risk","","","","","Professional services","","","","409","0","","","0","0","0","","Kyiv , Ukraine","","","","","","","","","","","","","","","","",""
"WhiteSpaceInc","","","","","Technology, information and media","","","","410","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Blog Midiaria.com","","","","","Entertainment providers","","","","411","0","","","0","0","0","","São Paulo, Brazil","","","","","","","","","","","","","","","","",""
"Private Equity / Venture Capital","","","","","Financial services","","","","412","0","","","0","0","0","","Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Duos AI","","","","","Technology, information and media","","","","413","0","","","0","0","0","","Amsterdam, Netherlands","","","","","","","","","","","","","","","","",""
"Qatar Development Bank","","","","","Financial services","","","","414","0","","","0","0","0","","Doha, Qatar","","","","","","","","","","","","","","","","",""
"Web Summit","","","","","Financial services","","","","415","0","","","0","0","0","","Lisboa, Portugal","","","","","","","","","","","","","","","","",""
"South summit","","","","","Professional services","","","","416","0","","","0","0","0","","Madrid, Spain","","","","","","","","","","","","","","","","",""
"Dell Technologies","","","","","Financial services","","","","417","0","","","0","0","0","","Casablanca, Morocco","","","","","","","","","","","","","","","","",""
"EMEL","","","","","Government administration","","","","418","0","","","0","0","0","","Lisboa, Portugal","","","","","","","","","","","","","","","","",""
"Red Teamer / Pentester at CWO in Altice","","","","","Financial services","","","","419","0","","","0","0","0","","Lisboa, Portugal","","","","","","","","","","","","","","","","",""
"Starling","","","","","Financial services","","","","420","0","","","0","0","0","","Manchester, United Kingdom","","","","","","","","","","","","","","","","",""
"Sadie","","","","","Financial services","","","","421","0","","","0","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"CGTN Europe","","","","","Retail","","","","422","0","","","0","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Qreadible","","","","","Professional services","","","","423","0","","","0","0","0","","Niš, Serbia","","","","","","","","","","","","","","","","",""
"Infinicept","","United States","infinicept.com","https://linkedin.com/company/18054750","","","","","424","1","","2025-11-20","1","0","0","","225 S Broadway, 80209, Colorado, Denver, United States","","","","","","","","","","","","","","","","",""
"Arnold & Porter","","United States","arnoldporter.com","https://linkedin.com/company/162519","","","","","425","1","","","0","0","0","","601 Massachusetts Avenue, NW, 20001, DC, Washington, United States","","","","","","","","","","","","","","","","",""
"Mercedes-Benz Heritage GmbH","","","","","","","","","426","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"European Parliament","","","","","","","","http://www.europarl.europa.eu","427","0","","","0","0","0","","Belgium, Brussels","","","","","","","","","","","","","","","","",""
"NoNee","Warm lead","","noneeai.com","","Professional services","","5","","428","1","2026-01-26","","0","1","5","","ireland","","","","","","","","","","","","","","","","",""
"NFP, an Aon company (Ireland)","","","","","","","","","429","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Finovate","","","","","","","","","430","4","2026-04-18","2026-01-15","2","1","29","","","","","","","","","","","","","","","","","","",""
"Intercity Transit","","United States","","","Transportation, logistics, supply chain and storage","","200","","431","5","","","0","0","5","","Olympia, Washington, USA","","","","","","","","","","","","","","","","",""
"Rafiqul Islam school and college","","","","","Education","","","","433","0","","","0","0","0","","United States","","","","","","","","","","","","","","","","",""
"ThinkPlace US","","United States","thinkplaceus.com","https://linkedin.com/company/107858945","","","","","436","1","","2025-11-28","4","0","0","","480 S Fred D Haight Dr, 95567, California, Smith River, United States","","","","","","","","","","","","","","","","",""
"AnalystCraft","","","","","","","","","437","1","","2025-12-01","4","0","0","","","","","","","","","","","","","","","","","","",""
"Boundless","","Ireland","boundlesshq.com","https://linkedin.com/company/19147486","","","","","438","0","","2025-11-28","1","0","0","","D02, Ireland, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"The Yield Lab","","Ireland","theyieldlab.com","https://linkedin.com/company/3860712","","","","","439","1","","","0","0","0","","5 Ely Place Upper, D02 VW68, County Dublin, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"SOFID - Sociedade para o Financiamento do Desenvolvimento, Instituição Financeira de Crédito","","","","","","","","","444","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Baker Hughes","","United States","bakerhughes.com","https://linkedin.com/company/4334","","","","","445","1","","","0","0","0","","Aldine Westfield Road, 77073, Texas, Houston, United States","","","","","","","","","","","","","","","","",""
"Národná banka Slovenska","","Slovakia","nbs.sk","https://linkedin.com/company/1035211","","","","","446","1","","","0","0","0","","Imricha Karvaša  6851/1, 813 25, Region of Bratislava, Bratislava, Slovakia","","","","","","","","","","","","","","","","",""
"Grant Thornton UK","","United Kingdom","grantthornton.co.uk","https://linkedin.com/company/1314913","","","","","447","1","","","0","0","0","","30 Finsbury Square, EC2P 2YU, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Proximus","","Belgium","proximus.com","https://linkedin.com/company/2508","","","","","448","1","","","0","0","0","","Boulevard du Roi Albert II 27, 1030, Brussels-Capital Region, Brussels, Belgium","","","","","","","","","","","","","","","","",""
"Bang & Olufsen","","Denmark","bang-olufsen.com","https://linkedin.com/company/4742","","","","","449","1","","","0","0","0","","Peter Bangs Vej  15, 7600, Central Denmark Region, Struer, Denmark","","","","","","","","","","","","","","","","",""
"State Street","","United States","statestreet.com","https://linkedin.com/company/1767","","","","","450","1","","","0","0","0","","Lincoln Street, 02111, Massachusetts, Boston, United States","","","","","","","","","","","","","","","","",""
"Nest Bank","","Poland","nestbank.pl","https://linkedin.com/company/10921171","","","","","451","1","","","0","0","0","","ul. Wołoska, 02-675, Plaza 14, Warsaw, Poland","","","","","","","","","","","","","","","","",""
"Intelligent Ethics","","United Kingdom","intelligentethics.com","https://linkedin.com/company/11353671","","","","","452","1","","","0","0","0","","Holborn Viaduct  24, EC1A 2AT, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Tsb Bank","","United Kingdom","tsb.co.uk","https://linkedin.com/company/3285735","","","","","453","1","","","0","0","0","","20 Gresham Street, EC2V 7JE, England|London Inner|London (EC)|London EC2V, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Zurich Insurance","","Switzerland","zurich.com","https://linkedin.com/company/2458","","","","","454","3","","","0","0","0","","Mythenquai 2, 8002, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"Seon","","United States","seon.io","https://linkedin.com/company/10173953","","","","","455","1","","","0","0","0","","Comal Street, 78702, Texas, Austin, United States","","","","","","","","","","","","","","","","",""
"Roche","","Switzerland","roche.com","https://linkedin.com/company/1602","","","","","456","5","","","0","0","4","","Grenzacherstrasse, 4070, Basel-City, Switzerland 🇨🇭, Switzerland","","","","","","","","","","","","","","","","",""
"Aon","","United States","aon.com","https://linkedin.com/company/2041","","","","","457","2","","","0","0","1","","East Randolph Street  200, 60601, Illinois, Chicago, United States","","","","","","","","","","","","","","","","",""
"Bny","","United States","bny.com","https://linkedin.com/company/162750","","","","","458","5","","","0","0","1","","Greenwich Street, 10006, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Pimco","","United States","pimco.com","https://linkedin.com/company/7970","","","","","459","1","","","0","0","0","","650 Newport Center Drive, 92660, California, Newport Beach, United States","","","","","","","","","","","","","","","","",""
"Barilla Group","","Italy","barillagroup.com","https://linkedin.com/company/162647","","","","","460","1","","","0","0","0","","Via Mantova, 43122, Parma, Emilia-Romagna, Parma, Italy","","","","","","","","","","","","","","","","",""
"Delhaize","","Belgium","delhaize.be","https://linkedin.com/company/3580412","","","","","461","1","","","0","0","0","","Brusselsesteenweg, 1730, Flemish Brabant, Flanders, Asse, Belgium","","","","","","","","","","","","","","","","",""
"Christian Dior","","France","dior.com","https://linkedin.com/company/17577","","","","","462","0","","","0","0","0","","Avenue Montaigne  30, 75008, Paris, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Jti","","Switzerland","jti.com","https://linkedin.com/company/4827","","","","","463","1","","","0","0","0","","Rue Kazem-Radjavi  8, 1202, Geneva, Geneva, Switzerland","","","","","","","","","","","","","","","","",""
"ČSOB Pojišťovna","","Czech Republic","csobpoj.cz","https://linkedin.com/company/9495721","","","","","464","1","","","0","0","0","","Sázavská  847/4, 120 00, Capital City of Prague, Capital City of Prague, Czech Republic","","","","","","","","","","","","","","","","",""
"SS&C Technologies","","United States","ssctech.com","https://linkedin.com/company/18073162","","","","","465","1","","","0","0","0","","80 Lamberton Rd, 06095, Connecticut, Windsor, United States","","","","","","","","","","","","","","","","",""
"Ubs","","Switzerland","ubs.com","https://linkedin.com/company/1214","","","","","466","1","","","0","0","0","","Bahnhofstrasse  45, 8001, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"Hsbc","","United Kingdom","hsbc.com","https://linkedin.com/company/1241","","","","","467","5","","","0","0","3","","8 Canada Square, E14 5HQ, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"BNP Paribas Bank Polska","","Poland","bnpparibas.pl","https://linkedin.com/company/10070","","","","","468","1","","","0","0","0","","Marcina Kasprzaka  2, 01-211, Plaza 14, Warsaw, Poland","","","","","","","","","","","","","","","","",""
"Danske Bank","","Lithuania","danskebank.com","https://linkedin.com/company/2630","","","","","469","2","","","0","0","0","","Liepyno g.  2, 08108, Vilnius city municipality, Vilnius County, Vilnius, Lithuania","","","","","","","","","","","","","","","","",""
"Eurobank","","Greece","eurobank.gr","https://linkedin.com/company/163712","","","","","470","1","","","0","0","0","","20 Amalias Avenue & Souri Street, 105 57, Attica, Athens, Greece","","","","","","","","","","","","","","","","",""
"Ohio University","","United States","ohio.edu","https://linkedin.com/company/6382","","","","","471","1","","","0","0","0","","1 Ohio University, 45701, Ohio, Athens, United States","","","","","","","","","","","","","","","","",""
"AbbVie","","United States","abbvie.com","https://linkedin.com/company/1304385","","","","","472","1","","","0","0","0","","1 Waukegan Road, 60064, Illinois, North Chicago, United States","","","","","","","","","","","","","","","","",""
"Macquarie Group","","Australia","macquarie.com","https://linkedin.com/company/3537","","","","","473","1","","","0","0","0","","Elizabeth Street, 2000, New South Wales, Sydney, Australia","","","","","","","","","","","","","","","","",""
"Wise","","United Kingdom","wise.com","https://linkedin.com/company/1769571","","","","","474","2","","","0","0","0","","Redchurch Street, E2 7DD, London Borough of Hackney, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"BSH Ev Aletleri Türkiye","","Turkey","bsh-group.com.tr","https://linkedin.com/company/5811","","","","","475","1","","","0","0","0","","Fatih Sultan Mehmet Mahallesi, 34771, Istanbul, Ümraniye, Turkey","","","","","","","","","","","","","","","","",""
"Taaleem","","United Arab Emirates","taaleem.ae","https://linkedin.com/company/1745998","","","","","476","1","","","0","0","0","","Jumeira Beach Road, 76691, Dubai, United Arab Emirates","","","","","","","","","","","","","","","","",""
"ASP Solutions","","United States","asp.com","https://linkedin.com/company/2520192","","","","","477","1","","","0","0","0","","Technology Drive  33, 92618, California, Irvine, United States","","","","","","","","","","","","","","","","",""
"Baillie Gifford","","","","","","","","","478","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"SoFi","","United States","sofi.com","https://linkedin.com/company/2301992","","","","","479","1","","","0","0","0","","1st Street, 94105, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Scan","","United States","thescangroup.org","https://linkedin.com/company/165862","","","","","480","1","","","0","0","1","","90806, California, Long Beach, United States","","","","","","","","","","","","","","","","",""
"ServiceNow","","United States","servicenow.com","https://linkedin.com/company/29352","","","","","481","3","","","0","0","0","","2225 Lawson Ln, 95054, California, Santa Clara, United States","","","","","","","","","","","","","","","","",""
"Positivity","","India","positivity.org","https://linkedin.com/company/14383281","","","","","482","1","","","0","0","0","","Delhi, New Delhi, India","","","","","","","","","","","","","","","","",""
"University of Venda","","South Africa","univen.ac.za","https://linkedin.com/company/544315","","","","","483","1","","","0","0","0","","Main Road, 0950, Limpopo, Thulamela Local Municipality, South Africa","","","","","","","","","","","","","","","","",""
"Kroll","","United States","kroll.com","https://linkedin.com/company/164639","","","","","484","2","","","0","0","0","","Fulton Street  285, 10048, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Visa","","United States","visa.com","https://linkedin.com/company/2190","","","","","485","5","","","0","0","1","","California, Foster City, United States","","","","","","","","","","","","","","","","",""
"Cargill","","United States","cargill.com","https://linkedin.com/company/2678","","","","","486","1","","","0","0","0","","15407 McGinty Rd W, 55391, Delaware, Wayzata, United States","","","","","","","","","","","","","","","","",""
"Merck","","","","","","","","","487","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Banco","","Brazil","bv.com.br","https://linkedin.com/company/13758","","","","","488","1","","","0","0","1","","R Visconde de Pirajá, 250, CEP: 22.410-000, Rio de Janeiro, Rio de Janeiro, Brazil","","","","","","","","","","","","","","","","",""
"Thoughtworks","","United States","thoughtworks.com","https://linkedin.com/company/157356","","","","","489","1","","","0","0","0","","200 E Randolph St, 25th Floor, 60601-6501, Illinois, Chicago, United States","","","","","","","","","","","","","","","","",""
"Haleon","","United Kingdom","haleon.com","https://linkedin.com/company/80030090","","","","","490","1","","","0","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Cna","","United States","cna.com","https://linkedin.com/company/3246","","","","","491","1","","","0","0","0","","North Franklin Street  151, 60606, Illinois, Chicago, United States","","","","","","","","","","","","","","","","",""
"Cenomi Centers","","Saudi Arabia","cenomicenters.com","https://linkedin.com/company/88011503","","","","","492","1","","","0","0","0","","Riyadh, Saudi Arabia","","","","","","","","","","","","","","","","",""
"Olympus","","Australia","olympus-global.com","https://linkedin.com/company/76242922","","","","","493","1","","","0","0","0","","Acacia Place  3, 3168, Victoria, Melbourne, Australia","","","","","","","","","","","","","","","","",""
"EFG International","","Switzerland","efginternational.com","https://linkedin.com/company/12039","","","","","494","2","","","0","0","2","","Bleicherweg 8, 8001, Zurich, Zürich, Switzerland","","","","","","","","","","","","","","","","",""
"Riyadh Airports","","Saudi Arabia","riyadhairports.com","https://linkedin.com/company/10680023","","","","","495","0","","2026-01-07","2","0","0","","King Khalid International Airport, 11131, Riyadh Region, Riyadh, Saudi Arabia","","","","","","","","","","","","","","","","",""
"Astellas Pharma","","Japan","astellas.com","https://linkedin.com/company/33408697","","","","","496","1","","","0","0","0","","2-5-1, Nihonbashi-Honcho, 103-8411, Tokyo, Tokyo, Japan","","","","","","","","","","","","","","","","",""
"RSM International","","United Kingdom","rsm.global","https://linkedin.com/company/1118613","","","","","497","1","","","0","0","0","","Cannon Street, EC4N 6JJ, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Ooredoo Qatar","","Qatar","ooredoo.qa","https://linkedin.com/company/13229","","","","","498","1","","","0","0","0","","Dafna Street  152, 000000, Doha, Doha, Qatar","","","","","","","","","","","","","","","","",""
"MN State Services for the Blind","","United States","mn.gov","https://linkedin.com/company/166140","","","","","499","1","","","0","0","1","","Cedar Street  658, 55155, Minnesota, Saint Paul, United States","","","","","","","","","","","","","","","","",""
"Emirates NBD","","United States","emiratesnbd.com","https://linkedin.com/company/707016","","","","","500","1","","","0","0","0","","Beach Road, 23838, Virginia, Chesterfield, United States","","","","","","","","","","","","","","","","",""
"Flutter Entertainment","","United States","flutter.com","https://linkedin.com/company/14072241","","","","","501","4","","","0","0","2","","Park Avenue  300, 10022, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Rio Tinto","","United Kingdom","riotinto.com","https://linkedin.com/company/5204","","","","","502","1","","","0","0","0","","6 St James's Square, SW1Y 4AD, England|London Inner|London (SW)|London SW1Y, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Ey","","United Kingdom","ey.com","https://linkedin.com/company/1073","","","","","503","3","","","0","0","0","","More London Place  6, SE1 2DA, London Borough of Southwark, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Long Island University","","United States","liu.edu","https://linkedin.com/company/11536","","","","","504","1","","","0","0","1","","University Plaza  1, 11201, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Adp","","United States","adp.com","https://linkedin.com/company/1463","","","","","505","1","","","0","0","1","","1 Adp Blvd, 07068, New Jersey, Roseland, United States","","","","","","","","","","","","","","","","",""
"Banglalink Digital Communications","","Bangladesh","banglalink.net","https://linkedin.com/company/6660","","","","","506","2","","","0","0","0","","House no. 4, SW, Bir Uttam Mir Shawkat Sharak, Gulshan-1, 1212, Dhaka District, Dhaka Division, Dhaka, Bangladesh","","","","","","","","","","","","","","","","",""
"Notting Hill Genesis","","United Kingdom","nhg.org.uk","https://linkedin.com/company/18575997","","","","","507","1","","","0","0","1","","Notting Hill Gate  135, W8 7TQ, Royal Borough of Kensington and Chelsea, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Gartner","","United States","gartner.com","https://linkedin.com/company/2078","","","","","508","2","","","0","0","0","","50 Top Gallant Street, 06904, Connecticut, Stamford, United States","","","","","","","","","","","","","","","","",""
"AXA Assurance Maroc","","Morocco","axa.ma","https://linkedin.com/company/11196517","","","","","509","1","","","0","0","0","","Avenue Hassan II شارع الحسن الثاني, 20120, Prefecture of Casablanca, Casablanca-Settat, Casablanca, Morocco","","","","","","","","","","","","","","","","",""
"Standard Chartered","","United Kingdom","sc.com","https://linkedin.com/company/2235","","","","","510","3","","","0","0","0","","Basinghall Avenue  1, EC2V 5DD, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Kite Pharma","","United States","kitepharma.com","https://linkedin.com/company/5807055","","","","","511","1","","","0","0","0","","Broadway, 90404, California, Santa Monica, United States","","","","","","","","","","","","","","","","",""
"Protiviti","","United States","protiviti.com","https://linkedin.com/company/3920","","","","","512","1","","","0","0","0","","Sand Hill Road, 94025, California, Menlo Park, United States","","","","","","","","","","","","","","","","",""
"Abbott","","United States","abbott.com","https://linkedin.com/company/1612","","","","","513","3","","","0","0","2","","Abbott Park, 60044, Illinois, North Chicago, United States","","","","","","","","","","","","","","","","",""
"Serta Simmons Bedding","","United States","sertasimmons.com","https://linkedin.com/company/9370513","","","","","514","1","","","0","0","0","","Industry Avenue, 30341, Georgia, Doraville, United States","","","","","","","","","","","","","","","","",""
"Shelter","","United Kingdom","shelter.org.uk","https://linkedin.com/company/200878","","","","","515","1","","","0","0","0","","Old Street, EC1V 9LP, London Borough of Hackney, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Linktree","","Australia","linktr.ee","https://linkedin.com/company/15798","","","","","516","0","","","0","0","0","","Islington Street, 3066, Victoria, Melbourne, Australia","","","","","","","","","","","","","","","","",""
"Fragomen","","United States","fragomen.com","https://linkedin.com/company/10668","","","","","517","1","","","0","0","0","","1400 Broadway, 10018, NY, New York, United States","","","","","","","","","","","","","","","","",""
"Stripe","","United States","stripe.com","https://linkedin.com/company/2135371","","","","","518","0","","","0","0","0","","Oyster Point Boulevard  354, 94083, California, South San Francisco, United States","","","","","","","","","","","","","","","","",""
"Cencora","","United States","cencora.com","https://linkedin.com/company/96366777","","","","","519","1","","","0","0","0","","Plano Parkway, 75010, Texas, Carrollton, United States","","","","","","","","","","","","","","","","",""
"DXC Technology","","United States","dxc.com","https://linkedin.com/company/16198010","","","","","520","3","","","0","0","1","","Bashan Drive, 20417, Virginia, One Loudoun, United States","","","","","","","","","","","","","","","","",""
"Synechron","","United States","synechron.com","https://linkedin.com/company/15506","","","","","521","1","","","0","0","0","","Times Square  11, 10036, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Novartis","","Switzerland","novartis.com","https://linkedin.com/company/1406","","","","","522","1","","","0","0","0","","Novartis Campus, 4056, Basel-Stadt, Basel, Switzerland","","","","","","","","","","","","","","","","",""
"Lundbeck","","Denmark","lundbeck.com","https://linkedin.com/company/4589","","","","","523","1","","","0","0","0","","Ottiliavej  9, 2500, Capital Region of Denmark, Copenhagen, Denmark","","","","","","","","","","","","","","","","",""
"WomenExecs on Boards","","United States","weob.org","https://linkedin.com/company/68578239","","","","","524","1","","","0","0","0","","73012, Oklahoma, Oklahoma City, United States","","","","","","","","","","","","","","","","",""
"Amergis Healthcare Staffing","","United States","amergis.com","https://linkedin.com/company/103133151","","","","","525","1","","","0","0","0","","Lee DeForest Drive  7223, 21046, Maryland, Columbia, United States","","","","","","","","","","","","","","","","",""
"Accreditation and Training services","","Australia","corecrewtraining.co","https://linkedin.com/company/102600764","","","","","526","1","","","0","0","1","","Edward Street  243, 4000, Queensland, Brisbane City, Australia","","","","","","","","","","","","","","","","",""
"Ups","","United States","ups.com","https://linkedin.com/company/1523","","","","","527","1","","","0","0","0","","55 Glenlake Pkwy, 30328, Georgia, Atlanta, United States","","","","","","","","","","","","","","","","",""
"Cashea","","United States","cashea.app","https://linkedin.com/company/84325267","","","","","528","1","","","0","0","0","","Ohio, Miami, United States","","","","","","","","","","","","","","","","",""
"Tata Advanced Systems","","India","tataadvancedsystems.com","https://linkedin.com/company/14400079","","","","","529","1","","","0","0","0","","Hardware Park, Plot no. 21, Sy No. 1/1,, 501218, Telangana, Hyderabad, India","","","","","","","","","","","","","","","","",""
